state,abbr,electors,partisan_lean,margin_polls,margin_fund,margin_ensemble,margin_final,d_pv,r_pv,category,d_electors,r_electors
Nevada,NV,6,-2.8170636476969424,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-2.916557099997032,47.083442900002964,52.916557099997036,Lean R,226,309
New Hampshire,NH,4,2.4024414119168265,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,2.302947959616737,52.30294795961674,47.69705204038326,Lean D,226,309
New Jersey,NJ,14,8.40457014078071,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,8.30507668848062,58.30507668848062,41.69492331151938,Likely D,226,309
New Mexico,NM,5,3.9417077326465875,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,3.842214280346498,53.8422142803465,46.1577857196535,Lean D,226,309
New York,NY,28,13.173619321721226,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,13.074125869421136,63.07412586942114,36.92587413057886,Strong D,226,309
North Carolina,NC,16,-5.164938412676951,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-5.26443186497704,44.73556813502296,55.26443186497704,Likely R,226,309
North Dakota,ND,3,-29.08374205766422,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-29.183235509964312,20.816764490035688,79.1832355099643,Strong R,226,309
Ohio,OH,17,-11.552240032517297,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-11.651733484817386,38.348266515182615,61.651733484817385,Strong R,226,309
Oklahoma,OK,7,-28.307793958835497,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-28.407287411135588,21.592712588864412,78.40728741113558,Strong R,226,309
Oregon,OR,8,7.113485479275965,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,7.013992026975876,57.01399202697588,42.98600797302412,Likely D,226,309
Pennsylvania,PA,19,-2.7444711796792904,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-2.84396463197938,47.15603536802062,52.84396463197938,Lean R,226,309
Rhode Island,RI,4,11.544057832589806,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,11.444564380289716,61.44456438028972,38.55543561971028,Strong D,226,309
South Carolina,SC,9,-11.993811616288209,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-12.093305068588299,37.9066949314117,62.0933050685883,Strong R,226,309
South Dakota,SD,3,-23.443090842796042,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-23.542584295096134,26.457415704903866,73.54258429509613,Strong R,226,309
Tennessee,TN,11,-20.73718019478792,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-20.836673647088013,29.163326352911987,70.83667364708802,Strong R,226,309
Texas,TX,40,-9.412606139147455,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-9.512099591447544,40.487900408552456,59.512099591447544,Likely R,226,309
Utah,UT,6,-20.451938059070926,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-20.551431511371018,29.448568488628982,70.55143151137102,Strong R,226,309
Vermont,VT,3,20.308206150468575,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,20.208712698168483,70.20871269816848,29.791287301831517,Strong D,226,309
Virginia,VA,13,4.682594416015769,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,4.58310096371568,54.58310096371568,45.41689903628432,Lean D,226,309
Washington,WA,12,9.3368950800031,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,9.23740162770301,59.23740162770301,40.76259837229699,Likely D,226,309
West Virginia,WV,4,-32.10339450336966,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-32.202887955669745,17.797112044330255,82.20288795566975,Strong R,226,309
Wisconsin,WI,10,-3.1477997010699568,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-3.2472931533700464,46.752706846629955,53.247293153370045,Lean R,226,309
Wyoming,WY,3,-36.95282066978688,0.05089781056909226,-0.46333408141940086,-0.09949345230008982,-37.05231412208697,12.947685877913031,87.05231412208697,Strong R,226,309
