state,abbr,electors,partisan_lean,margin_polls,margin_fund,margin_ensemble,margin_final,d_pv,r_pv,category,d_electors,r_electors
Oklahoma,OK,7,-28.30779396,0.050897811,-0.463334081,-0.099493452,-28.40728741,21.59271259,78.40728741,Strong R,226,309
Oregon,OR,8,7.113485479,0.050897811,-0.463334081,-0.099493452,7.013992027,57.01399203,42.98600797,Likely D,226,309
Pennsylvania,PA,19,-2.74447118,0.050897811,-0.463334081,-0.099493452,-2.843964632,47.15603537,52.84396463,Lean R,226,309
Rhode Island,RI,4,11.54405783,0.050897811,-0.463334081,-0.099493452,11.44456438,61.44456438,38.55543562,Strong D,226,309
South Carolina,SC,9,-11.99381162,0.050897811,-0.463334081,-0.099493452,-12.09330507,37.90669493,62.09330507,Strong R,226,309
South Dakota,SD,3,-23.44309084,0.050897811,-0.463334081,-0.099493452,-23.5425843,26.4574157,73.5425843,Strong R,226,309
Tennessee,TN,11,-20.73718019,0.050897811,-0.463334081,-0.099493452,-20.83667365,29.16332635,70.83667365,Strong R,226,309
Texas,TX,40,-9.412606139,0.050897811,-0.463334081,-0.099493452,-9.512099591,40.48790041,59.51209959,Likely R,226,309
Utah,UT,6,-20.45193806,0.050897811,-0.463334081,-0.099493452,-20.55143151,29.44856849,70.55143151,Strong R,226,309
Vermont,VT,3,20.30820615,0.050897811,-0.463334081,-0.099493452,20.2087127,70.2087127,29.7912873,Strong D,226,309
Virginia,VA,13,4.682594416,0.050897811,-0.463334081,-0.099493452,4.583100964,54.58310096,45.41689904,Lean D,226,309
Washington,WA,12,9.33689508,0.050897811,-0.463334081,-0.099493452,9.237401628,59.23740163,40.76259837,Likely D,226,309
West Virginia,WV,4,-32.1033945,0.050897811,-0.463334081,-0.099493452,-32.20288796,17.79711204,82.20288796,Strong R,226,309
Wisconsin,WI,10,-3.147799701,0.050897811,-0.463334081,-0.099493452,-3.247293153,46.75270685,53.24729315,Lean R,226,309
Wyoming,WY,3,-36.95282067,0.050897811,-0.463334081,-0.099493452,-37.05231412,12.94768588,87.05231412,Strong R,226,309
